LipidClass	LipidSubClass	Category	MainClass	SubClass	C	H	N	O	S	P	Example	Formula-NoAdduct	IonizationMode	NumChains	ContainsEther	ContainsDiether	ContainsPlasmalogen	ContainsLCB	ContainsLCB+OH	 ContainsLCB-OH	IsOxoCHO	IsOxoCOOH	NumOH	ContainsOOH	ContainsF2IsoP
Ac2PIM2	Ac2PIM2	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylated diacylglycerophosphoinositolmonomannosides	X+21	2X+31-2Y		25		1	Ac2PIM2	C91H171O25P	neg	4	0	0	0	0	0	0	0	0	0	0	0
Ac2PIM3	Ac2PIM3	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylated diacylglycerophosphoinositolmonomannosides	X+27	2X+41-2Y		30		1	Ac2PIM3(60:0)	C87H161O30P	neg	4	0	0	0	0	0	0	0	0	0	0	0
Ac2PIM4	Ac2PIM4	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylated diacylglycerophosphoinositolmonomannosides	X+33	2X+51-2Y		35		1	Ac2PIM4(60:0)	C93H171O35P	neg	4	0	0	0	0	0	0	0	0	0	0	0
Ac2PIM5	Ac2PIM5	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylated diacylglycerophosphoinositolmonomannosides	X+39	2X+61-2Y		40		1	Ac2PIM5(60:0)	C99H181O40P	neg	4	0	0	0	0	0	0	0	0	0	0	0
Ac2PIM6	Ac2PIM6	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylated diacylglycerophosphoinositolmonomannosides	X+43	2X+71-2Y		45		1	Ac2PIM6(60:0)	C105H191O45P	neg	4	0	0	0	0	0	0	0	0	0	0	0
LPIM1	LPIM1	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+15	2X+27-2&		17		1	LPIM1(19:0/0:0)	C34H65O17P1	neg	1	0	0	0	0	0	0	0	0	0	0	0
LPIM2	LPIM2	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+21	2X+37-2Y		22		1	LPIM2(19:0/0:0)	C40H75O22P1	neg	1	0	0	0	0	0	0	0	0	0	0	0
LPIM3	LPIM3	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+27	2X+47-2Y		27		1	LPIM3(19:0/0:0)	C46H85O27P	neg	1	0	0	0	0	0	0	0	0	0	0	0
LPIM4	LPIM4	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+33	2X+57-2Y		32		1	LPIM4(19:0/0:0)	C52H95O32P	neg	1	0	0	0	0	0	0	0	0	0	0	0
LPIM5	LPIM5	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+39	2X+67-2Y		37		1	LPIM5(19:0/0:0)	C58H105O37P	neg	1	0	0	0	0	0	0	0	0	0	0	0
LPIM6	LPIM6	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Monoacylglycerophosphoinositolglycans [GP1504]	X+45	2X+77-2Y		42		1	LPIM6(19:0/0:0)	C64H115O42P	neg	1	0	0	0	0	0	0	0	0	0	0	0
PIM1	PIM1	Glycerophospholipids	Glycerophosphoinositolglycans	Diacylglycerophosphoinositolmonomannosides	X+15	2X+25-2Y		18		1	PIM1(16:0/19:0)	C50H95O18P	neg	2	0	0	0	0	0	0	0	0	0	0	0
PIM2	PIM2	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Diacylglycerophosphoinositolglycans [GP1501]	X+21	2X+35-2Y		23		1	PIM2(16:0/19:0)	C56H105O23P	neg	2	0	0	0	0	0	0	0	0	0	0	0
PIM3	PIM3	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Diacylglycerophosphoinositolglycans [GP1501]	X+27	2X+45-2Y		28		1	PIM3(16:0/19:0)	C62H115O28P	neg	2	0	0	0	0	0	0	0	0	0	0	0
PIM4	PIM4	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Diacylglycerophosphoinositolglycans [GP1501]	X+33	2X+55-2Y		33		1	PIM4(16:0/19:0)	C68H125O33P	neg	2	0	0	0	0	0	0	0	0	0	0	0
PIM5	PIM5	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Diacylglycerophosphoinositolglycans [GP1501]	X+39	2X+65-2Y		38		1	PIM5(16:0/19:0)	C74H135O38P	neg	2	0	0	0	0	0	0	0	0	0	0	0
PIM6	PIM6	Glycerophospholipids [GP]	Glycerophosphoinositolglycans [GP15]	Diacylglycerophosphoinositolglycans [GP1501]	X+45	2X+75-2Y		43		1	PIM6(16:0/19:0)	C80H145O43P	neg	2	0	0	0	0	0	0	0	0	0	0	0
DAT1	DAT1	Saccharolipids [SL]	Acyltrehaloses [SL03]		X+12	2X+18-2Y		13			DAT1(16:0/25:0)	C53H100O13	pos	2	0	0	0	0	0	0	0	0	0	0	0
DAT2	DAT2	Saccharolipids [SL]	Acyltrehaloses [SL03]		X+12	2X+18-2Y		14			DAT2(18:0/24:0(OH))	C54H102O14	pos	2	0	0	0	0	0	0	0	0	1	0	0
GMMaMA	GMMaMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+6	2X+6-2Y		9			GMMaMA(26:0/50:0)	C82H158O8	pos	2	0	0	0	0	0	0	0	0	0	0	0
GMMkMA	GMMkMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+6	2X+6-2Y		9			GMMkMA(26:0/50:0)	C82H158O9	pos	2	0	0	0	0	0	0	0	0	0	0	0
GMMmMA	GMMmMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+6	2X+8-2Y		9			GMMmMA(26:0/50:0)	C82H160O9	pos	2	0	0	0	0	0	0	0	0	0	0	0
TMMaMA	TMMaMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+12	2X+16-2Y		13			TMMaMA(26:0/50:0)	C90H172O13	pos	2	0	0	0	0	0	0	0	0	0	0	0
TMMkMA	TMMkMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+12	2X+16-2Y		14			TMMkMA(26:0/50:0)	C90H172O14	pos	2	0	0	0	0	0	0	0	0	0	0	0
TMMmMA	TMMmMA	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Mycolic acids [FA0116]	X+12	2X+18-2Y		14			TMMmMA(26:0/50:0)	C90H174O14	pos	2	0	0	0	0	0	0	0	0	0	0	0
MK	MK	Prenol Lipids [PR]	Quinones and hydroquinones [PR02]	Ubiquinones [PR0201]	X+12	2X-8-2Y		2			MK(9:0)	C56H80O2	pos	1	0	0	0	0	0	0	0	0	0	0	0
MKS881	MKS881	Prenol Lipids [PR]	Quinones and hydroquinones [PR02]	Ubiquinones [PR0201]	X+12	2X-6-2Y		2	1		MKS881	C56H82O2S	pos	1	0	0	0	0	0	0	0	0	0	0	0
HydroxyphthioceranicAcid	HydroxyphthioceranicAcid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Branched fatty acids [FA0102]	X	2X-2Y		3			HydroxyphthioceranicAcid(34:0)	C34H68O3	neg	1	0	0	0	0	0	0	0	0	0	0	0
MycolipanolicAcid	MycolipanolicAcid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Branched fatty acids [FA0102]	X	2X-2Y		3			MycolipanolicAcid(24:0)	C24H48O3	neg	1	0	0	0	0	0	0	0	0	0	0	0
MycolipenicAcid	MycolipenicAcid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Branched fatty acids [FA0102]	X+2	2X+2-2Y		2			MycolipenicAcid(25:0)	C27H52O2	neg	1	0	0	0	0	0	0	0	0	0	0	0
MPM	MPM	Polyketides [PK]	Linear polyketides [PK01]		X+6	2X+13-2Y		9		1	MPM(32:0)	C38H77O9P	neg	1	0	0	0	0	0	0	0	0	0	0	0
